month	total	critical	important	moderate	low	unknown
2025-01	159	12	147	0	0	0
2025-02	63	4	56	1	2	0
2025-03	59	5	53	0	1	0
2025-04	124	11	111	0	2	0
2025-05	78	11	66	0	1	0
2025-06	67	11	56	0	0	0
2025-07	132	13	118	1	0	0
2025-08	114	17	91	2	1	3
2025-09	100	13	74	13	0	0
2025-10	177	15	159	3	0	0
2025-11	64	5	58	1	0	0
2025-12	61	3	55	1	2	0
2026-01	113	8	105	0	0	0
2026-02	58	5	51	2	0	0
2026-03	82	8	73	1	0	0
2026-04	178	15	155	5	3	0
2026-05	138	30	104	3	1	0
2026-06	209	39	170	0	0	0
2026-07	622	62	553	6	1	0
2026-08	422	64	357	1	0	0
2026-09	973	113	860	0	0	0
