month	total	critical	important	moderate	low	unknown
2025-01	135	0	105	29	1	0
2025-02	228	23	172	33	0	0
2025-03	185	0	140	45	0	0
2025-04	243	2	164	76	1	0
2025-05	740	9	210	518	3	0
2025-06	260	0	182	77	1	0
2025-07	456	0	396	59	1	0
2025-08	238	2	204	30	2	0
2025-09	275	0	143	131	1	0
2025-10	186	0	113	73	0	0
2025-11	448	1	130	315	2	0
2025-12	343	9	243	87	4	0
2026-01	270	5	225	38	2	0
2026-02	372	41	279	52	0	0
2026-03	438	60	307	71	0	0
2026-04	818	36	600	175	7	0
2026-05	757	133	485	138	1	0
2026-06	924	98	744	80	2	0
2026-07	1205	154	962	81	8	0
2026-08	1427	304	1036	83	4	0
2026-09	1435	67	1313	51	4	0
